file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,129,css,9cb5e3ec,Ankita Inamti,2025-10-10,13:46:14,-07:00,2025-10-10T13:46:14-07:00,1,12
style.css,130,css,9cb5e3ec,Ankita Inamti,2025-10-10,13:46:14,-07:00,2025-10-10T13:46:14-07:00,1,58
style.css,131,css,9cb5e3ec,Ankita Inamti,2025-10-10,13:46:14,-07:00,2025-10-10T13:46:14-07:00,1,7
style.css,132,css,9cb5e3ec,Ankita Inamti,2025-10-10,13:46:14,-07:00,2025-10-10T13:46:14-07:00,1,17
style.css,133,css,9cb5e3ec,Ankita Inamti,2025-10-10,13:46:14,-07:00,2025-10-10T13:46:14-07:00,0,0
style.css,134,css,9cb5e3ec,Ankita Inamti,2025-10-10,13:46:14,-07:00,2025-10-10T13:46:14-07:00,0,0
style.css,135,css,442d6cfd,Ankita Inamti,2025-10-10,15:01:24,-07:00,2025-10-10T15:01:24-07:00,0,28
style.css,136,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,0,17
style.css,137,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,1,12
style.css,138,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,1,26
style.css,139,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,1,15
style.css,140,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,1,7
style.css,141,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,1,0
style.css,142,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,0,0
style.css,143,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,0,20
style.css,144,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,0,8
style.css,145,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,0,0
style.css,146,css,66d25482,Ankita Inamti,2025-10-10,14:55:43,-07:00,2025-10-10T14:55:43-07:00,0,0
style.css,147,css,4146e9b4,Ankita Inamti,2025-11-01,12:59:50,-07:00,2025-11-01T12:59:50-07:00,0,18
style.css,148,css,4146e9b4,Ankita Inamti,2025-11-01,12:59:50,-07:00,2025-11-01T12:59:50-07:00,1,14
style.css,149,css,4146e9b4,Ankita Inamti,2025-11-01,12:59:50,-07:00,2025-11-01T12:59:50-07:00,1,16
style.css,150,css,4146e9b4,Ankita Inamti,2025-11-01,12:59:50,-07:00,2025-11-01T12:59:50-07:00,0,0
style.css,151,css,4146e9b4,Ankita Inamti,2025-11-01,12:59:50,-07:00,2025-11-01T12:59:50-07:00,1,16
style.css,152,css,4146e9b4,Ankita Inamti,2025-11-01,12:59:50,-07:00,2025-11-01T12:59:50-07:00,0,0
style.css,153,css,4146e9b4,Ankita Inamti,2025-11-01,12:59:50,-07:00,2025-11-01T12:59:50-07:00,0,0
style.css,154,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,0,18
style.css,155,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,0,21
style.css,156,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,1,12
style.css,157,css,390c971a,Ankita Inamti,2025-11-01,15:18:31,-07:00,2025-11-01T15:18:31-07:00,1,22
style.css,158,css,390c971a,Ankita Inamti,2025-11-01,15:18:31,-07:00,2025-11-01T15:18:31-07:00,1,7
style.css,159,css,390c971a,Ankita Inamti,2025-11-01,15:18:31,-07:00,2025-11-01T15:18:31-07:00,1,14
style.css,160,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,0,0
style.css,161,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,0,0
style.css,162,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,0,18
style.css,163,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,1,11
style.css,164,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,1,12
style.css,165,css,390c971a,Ankita Inamti,2025-11-01,15:18:31,-07:00,2025-11-01T15:18:31-07:00,1,13
style.css,166,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,0,0
style.css,167,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,0,0
style.css,168,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,0,7
style.css,169,css,390c971a,Ankita Inamti,2025-11-01,15:18:31,-07:00,2025-11-01T15:18:31-07:00,1,6
style.css,170,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,1,12
style.css,171,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,1,57
style.css,172,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,1,7
style.css,173,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,1,15
style.css,174,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,1,9
style.css,175,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,1,8
style.css,176,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,0,0
style.css,177,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,0,0
style.css,178,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,0,10
style.css,179,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,1,12
style.css,180,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,1,18
style.css,181,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,1,9
style.css,182,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,0,0
style.css,183,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,0,0
style.css,184,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,0,15
style.css,185,css,b993f9c3,Ankita Inamti,2025-11-01,14:49:08,-07:00,2025-11-01T14:49:08-07:00,1,20
style.css,186,css,1c615d3e,Ankita Inamti,2025-11-01,14:44:02,-07:00,2025-11-01T14:44:02-07:00,1,10
